Day,Open,High,Low,Close,Adj Close,Volume
1789,144.5,145.5,138.009995,139.25,115.276741,15679700
1790,139.75,141.759995,136.789993,138.5,114.655884,10541300
1791,140.399994,145.190002,140.070007,144.119995,119.308357,10870200
1792,143.300003,144.589996,142.610001,144,119.209007,6368000
1793,144.979996,145.75,142.949997,143.75,119.002052,6517300
1794,144.649994,145.990005,143.589996,145.259995,120.252083,5808700
1795,145.770004,150.320007,145.5,149.830002,124.035294,7645900
1796,149.710007,150.5,146.949997,148.309998,122.777008,4402000
1797,147.850006,149.399994,147.210007,147.919998,122.454147,3488000
1798,148.919998,149.949997,148.100006,149.899994,124.093246,3799600
1799,149.050003,150.889999,147.160004,147.160004,121.824997,3666400
1800,147.410004,148.5,145.070007,146.490005,121.270355,4907100
1801,148.100006,152.199997,146.350006,152.199997,125.997337,6656800
1802,152.199997,152.720001,149.5,150.429993,124.531998,5973300
1803,151.929993,152.789993,151.339996,152.449997,126.204269,3250500
1804,151.699997,151.699997,150,150.949997,124.962479,4478600
1805,152.289993,152.300003,150.199997,150.580002,124.656235,3441000
1806,150.009995,150.5,148.440002,148.509995,122.942566,3618700
1807,149.25,150.410004,148.160004,148.850006,123.224014,2946100
1808,148.399994,149,146.550003,148.669998,123.07502,3817200
1809,148.699997,149.229996,145.070007,145.270004,120.260368,4300100
1810,144.029999,145.199997,142.100006,142.550003,118.008644,6116700
1811,143.100006,143.5,138.970001,140.100006,115.980438,5659400
1812,140.100006,142.270004,139.199997,140.869995,116.617859,4528700
1813,140.619995,142.479996,139.899994,142.339996,117.834755,5874300
1814,142.699997,147.850006,142.699997,146.970001,121.667694,6079400
1815,146.699997,147.800003,145,145.179993,120.185829,4264500
1816,145.050003,145.059998,141.800003,142.039993,117.870628,4682400
1817,143.300003,147.5,143.059998,146.899994,121.90361,4610700
1818,146.899994,149.669998,145.339996,148.490005,123.223114,4984000
1819,147.5,148.820007,146.690002,147.380005,122.301971,3326000
1820,148.699997,149.630005,147.589996,148.259995,123.032188,4085900
1821,149.649994,152.350006,149.330002,151.720001,125.903427,4752200
1822,151.600006,153.729996,150.660004,152.75,126.758194,4370000
1823,151.630005,151.740005,149.589996,151.259995,125.521736,3468500
1824,150.259995,150.5,147.539993,149.899994,124.393143,6139300
1825,148.75,153.149994,148.470001,152.100006,126.218842,3854000
1826,154,156.289993,152.169998,152.990005,126.957314,4892300
1827,152.119995,154.850006,151.759995,152.649994,126.67524,3029800
1828,152.649994,155.399994,150.490005,151.449997,125.679436,6199900
1829,153.5,153.75,149.600006,150.009995,124.484436,4234300
1830,149.5,152.119995,148.5,151.630005,125.828766,3782100
1831,152.350006,152.869995,149.990005,151.110001,125.397217,2576500
1832,152.479996,153.009995,149.429993,150.369995,124.78318,3110900
1833,152.380005,153.990005,151.210007,152.649994,126.67524,4907000
1834,153.949997,155.050003,152.720001,154.990005,128.617081,3563900
1835,153.899994,156.869995,153.850006,154.449997,128.16893,3365700
1836,154.449997,154.75,153,154.679993,128.359818,2742100
1837,153.160004,154.25,151.639999,153.830002,127.654465,3731200
1838,154.360001,155.009995,153.050003,154.149994,127.919983,3696600
1839,153.410004,154.75,152.149994,152.699997,126.716705,2811300
1840,153.550003,153.600006,150.75,151.399994,125.637947,3100000
1841,150.690002,151.419998,149.75,150.070007,124.534233,2476200
